현토,빈도,TAM범주,주요범주
는요는라,29,deontic_mood,deontic_mood
는라은요은라,28,deontic_mood,deontic_mood
하고라,28,deontic_mood,deontic_mood
라는요는라,28,deontic_mood,deontic_mood
이라에이하다,28,"declarative_mood, deontic_mood",declarative_mood
는요는라은라,28,deontic_mood,deontic_mood
이이라,28,"declarative_mood, deontic_mood",declarative_mood
하고하니라,28,"declarative_mood, deontic_mood",declarative_mood
오라,28,"deontic_mood, interrogative_mood",deontic_mood
리오라,27,"epistemic_mood, deontic_mood, interrogative_mood",epistemic_mood
는요은라,27,deontic_mood,deontic_mood
이니하여하나니라,26,"declarative_mood, deontic_mood",declarative_mood
면니라,26,"declarative_mood, deontic_mood",declarative_mood
은라는하니라,26,"declarative_mood, deontic_mood",declarative_mood
이라에,26,"declarative_mood, deontic_mood",declarative_mood
는라니라,26,"declarative_mood, deontic_mood",declarative_mood
는이니라은라,26,"declarative_mood, deontic_mood",declarative_mood
는요는라는라,25,deontic_mood,deontic_mood
는라는요은라,25,deontic_mood,deontic_mood
이면니라,24,"declarative_mood, deontic_mood",declarative_mood
이라하야,24,"declarative_mood, deontic_mood",declarative_mood
리오,24,"epistemic_mood, interrogative_mood",epistemic_mood
는요은라은라,23,deontic_mood,deontic_mood
은라는요은라,23,deontic_mood,deontic_mood
하니라라,22,"declarative_mood, deontic_mood",declarative_mood
아라,22,deontic_mood,deontic_mood
하니라하다,22,"declarative_mood, deontic_mood",declarative_mood
는니이라는라,22,"declarative_mood, deontic_mood",declarative_mood
이라하니라,22,"declarative_mood, deontic_mood",declarative_mood
라는이니라,22,"declarative_mood, deontic_mood",declarative_mood
은이니라,22,"declarative_mood, deontic_mood",declarative_mood
은니이라은라,22,"declarative_mood, deontic_mood",declarative_mood
은라은하니라,22,"declarative_mood, deontic_mood",declarative_mood
는하니라,22,"declarative_mood, deontic_mood",declarative_mood
로다,22,declarative_mood,declarative_mood
은요는라,22,deontic_mood,deontic_mood
이라이하다,22,"declarative_mood, deontic_mood",declarative_mood
여로다,21,declarative_mood,declarative_mood
오이라,21,"declarative_mood, deontic_mood, interrogative_mood",declarative_mood
하여라,20,deontic_mood,deontic_mood
라오,20,"deontic_mood, interrogative_mood",deontic_mood
은라은니이라,20,"declarative_mood, deontic_mood",declarative_mood
이하니라,20,"declarative_mood, deontic_mood",declarative_mood
하여하니라하니라,20,"declarative_mood, deontic_mood",declarative_mood
는하니라은라,20,"declarative_mood, deontic_mood",declarative_mood
은라는이니라,20,"declarative_mood, deontic_mood",declarative_mood
라이니라,20,"declarative_mood, deontic_mood",declarative_mood
이이니하여하나니라,20,"declarative_mood, deontic_mood",declarative_mood
는라은요는라,19,deontic_mood,deontic_mood
에라,19,deontic_mood,deontic_mood
는라는니이라,18,"declarative_mood, deontic_mood",declarative_mood
은하니라,18,"declarative_mood, deontic_mood",declarative_mood
라는니이라,18,"declarative_mood, deontic_mood",declarative_mood
하다이라,18,"declarative_mood, deontic_mood",declarative_mood
은요는라은라,18,deontic_mood,deontic_mood
은라하여하니라,18,"declarative_mood, deontic_mood",declarative_mood
하라하리라,18,"epistemic_mood, deontic_mood",epistemic_mood
하야하니라,18,"declarative_mood, deontic_mood",declarative_mood
하니라하니이라,18,"declarative_mood, deontic_mood",declarative_mood
이라로이라,18,"declarative_mood, deontic_mood",declarative_mood
이라하니잇가,18,"declarative_mood, deontic_mood, interrogative_mood",declarative_mood
는하니라는라,18,"declarative_mood, deontic_mood",declarative_mood
오니라,18,"declarative_mood, deontic_mood, interrogative_mood",declarative_mood
아니라,18,"declarative_mood, deontic_mood",declarative_mood
는니라라,18,"declarative_mood, deontic_mood",declarative_mood
하노라,17,deontic_mood,deontic_mood
라하고,17,deontic_mood,deontic_mood
는이라은이라,16,"declarative_mood, deontic_mood",declarative_mood
라는하니라,16,"declarative_mood, deontic_mood",declarative_mood
는라은하니라,16,"declarative_mood, deontic_mood",declarative_mood
는라는이요는이라,16,"declarative_mood, deontic_mood",declarative_mood
는이라하니라,16,"declarative_mood, deontic_mood",declarative_mood
라이요이라,16,"declarative_mood, deontic_mood",declarative_mood
하고이라하니리오,16,"epistemic_mood, deontic_mood, interrogative_mood, declarative_mood",epistemic_mood
는이라는니라,16,"declarative_mood, deontic_mood",declarative_mood
하다하니라,16,"declarative_mood, deontic_mood",declarative_mood
은하니라는라,16,"declarative_mood, deontic_mood",declarative_mood
하니라은라,16,"declarative_mood, deontic_mood",declarative_mood
이요이라은라,16,"declarative_mood, deontic_mood",declarative_mood
여이라,16,"declarative_mood, deontic_mood",declarative_mood
는요은라는라,16,deontic_mood,deontic_mood
는라이니라,16,"declarative_mood, deontic_mood",declarative_mood
리오니라,16,"epistemic_mood, deontic_mood, interrogative_mood, declarative_mood",epistemic_mood
로라은라,15,deontic_mood,deontic_mood
는라은이요는라,15,deontic_mood,deontic_mood
는라는이요는라,15,deontic_mood,deontic_mood
은요는라는라,15,deontic_mood,deontic_mood
라로라,15,deontic_mood,deontic_mood
하라,15,deontic_mood,deontic_mood
이리오라,15,"epistemic_mood, deontic_mood, interrogative_mood",epistemic_mood
라이여,15,deontic_mood,deontic_mood
은이라라,14,"declarative_mood, deontic_mood",declarative_mood
는요은니라,14,"declarative_mood, deontic_mood",declarative_mood
은하니라은라,14,"declarative_mood, deontic_mood",declarative_mood
는라이면니라,14,"declarative_mood, deontic_mood",declarative_mood
이라로니라,14,"declarative_mood, deontic_mood",declarative_mood
은니이라는라,14,"declarative_mood, deontic_mood",declarative_mood
이니라는라,14,"declarative_mood, deontic_mood",declarative_mood
는라는이요은라,14,deontic_mood,deontic_mood
로다여,14,declarative_mood,declarative_mood
하여하니라라,14,"declarative_mood, deontic_mood",declarative_mood
은이라은니라,14,"declarative_mood, deontic_mood",declarative_mood
은라는이요는라,14,deontic_mood,deontic_mood
나이라,14,"declarative_mood, deontic_mood",declarative_mood
은요은라은요은라,14,deontic_mood,deontic_mood
는라이하니라,14,"declarative_mood, deontic_mood",declarative_mood
라하고하니라,14,"declarative_mood, deontic_mood",declarative_mood
이나이라,14,"declarative_mood, deontic_mood",declarative_mood
이라로라,14,"declarative_mood, deontic_mood",declarative_mood
이리오,14,"epistemic_mood, interrogative_mood",epistemic_mood
에하다하니라,14,"declarative_mood, deontic_mood",declarative_mood
니이라,14,"declarative_mood, deontic_mood",declarative_mood
아이라,14,"declarative_mood, deontic_mood",declarative_mood
이라로하니라,14,"declarative_mood, deontic_mood",declarative_mood
요니라,14,"declarative_mood, deontic_mood",declarative_mood
이라에하고하다,14,"declarative_mood, deontic_mood",declarative_mood
는라는하여라,14,deontic_mood,deontic_mood
하니로다,13,declarative_mood,declarative_mood
은라은요는라,13,deontic_mood,deontic_mood
라는요은라,13,deontic_mood,deontic_mood
은라는하여라,13,deontic_mood,deontic_mood
는잇고,13,interrogative_mood,interrogative_mood
은라는이요은라,13,deontic_mood,deontic_mood
요이라은라,12,"declarative_mood, deontic_mood",declarative_mood
리오라하니라,12,"epistemic_mood, deontic_mood, interrogative_mood, declarative_mood",epistemic_mood
은이라은이라,12,"declarative_mood, deontic_mood",declarative_mood
은이요은이라,12,"declarative_mood, deontic_mood",declarative_mood
은요는라는이라,12,"declarative_mood, deontic_mood",declarative_mood
이라여,12,"declarative_mood, deontic_mood",declarative_mood
는이라로라,12,"declarative_mood, deontic_mood",declarative_mood
는니니라,12,"declarative_mood, deontic_mood",declarative_mood
는라는요은이라,12,"declarative_mood, deontic_mood",declarative_mood
하여이라이라,12,"declarative_mood, deontic_mood",declarative_mood
이니이라,12,"declarative_mood, deontic_mood",declarative_mood
하니하다하니라,12,"declarative_mood, deontic_mood",declarative_mood
에하니라하다,12,"declarative_mood, deontic_mood",declarative_mood
라하여,12,deontic_mood,deontic_mood
은이라이라,12,"declarative_mood, deontic_mood",declarative_mood
이면리라,12,"epistemic_mood, deontic_mood",epistemic_mood
는라하여라,12,deontic_mood,deontic_mood
은라은이요은이라,12,"declarative_mood, deontic_mood",declarative_mood
하야이라하니라,12,"declarative_mood, deontic_mood",declarative_mood
은라에하니라,12,"declarative_mood, deontic_mood",declarative_mood
은니이라,12,"declarative_mood, deontic_mood",declarative_mood
이요이라,12,"declarative_mood, deontic_mood",declarative_mood
하야이라하야하니,12,"declarative_mood, deontic_mood",declarative_mood
라이로다,12,"declarative_mood, deontic_mood",declarative_mood
에하니라하니라,12,"declarative_mood, deontic_mood",declarative_mood
은요은니라,12,"declarative_mood, deontic_mood",declarative_mood
는하고은니라,12,"declarative_mood, deontic_mood",declarative_mood
는니라는이니라,12,"declarative_mood, deontic_mood",declarative_mood
는이요은라은라,12,deontic_mood,deontic_mood
라하고이라,12,"declarative_mood, deontic_mood",declarative_mood
은라이요이라,12,"declarative_mood, deontic_mood",declarative_mood
하여라하니라,12,"declarative_mood, deontic_mood",declarative_mood
라은니이라,12,"declarative_mood, deontic_mood",declarative_mood
하여이라로라,12,"declarative_mood, deontic_mood",declarative_mood
은라요이라,12,"declarative_mood, deontic_mood",declarative_mood
니라는라,12,"declarative_mood, deontic_mood",declarative_mood
하고이니라,12,"declarative_mood, deontic_mood",declarative_mood
하여이라로하니라,12,"declarative_mood, deontic_mood",declarative_mood
는라은이요은라,12,deontic_mood,deontic_mood
에라하니라,12,"declarative_mood, deontic_mood",declarative_mood
는라은니이라,12,"declarative_mood, deontic_mood",declarative_mood
은이라는요은라,12,"declarative_mood, deontic_mood",declarative_mood
잇가,12,interrogative_mood,interrogative_mood
이니니라,12,"declarative_mood, deontic_mood",declarative_mood
로라,12,deontic_mood,deontic_mood
하니라이라,12,"declarative_mood, deontic_mood",declarative_mood
은리라,12,"epistemic_mood, deontic_mood",epistemic_mood
은이라는이라,12,"declarative_mood, deontic_mood",declarative_mood
로하니라,12,"declarative_mood, deontic_mood",declarative_mood
리오는라,12,"epistemic_mood, deontic_mood, interrogative_mood",epistemic_mood
리오이니라,12,"epistemic_mood, deontic_mood, interrogative_mood, declarative_mood",epistemic_mood
하니이라하니라,12,"declarative_mood, deontic_mood",declarative_mood
아하라,11,deontic_mood,deontic_mood
은이요는라는라,11,deontic_mood,deontic_mood
하여라는라,11,deontic_mood,deontic_mood
여라,11,deontic_mood,deontic_mood
하니라면라,10,"declarative_mood, deontic_mood",declarative_mood
은라는니이라,10,"declarative_mood, deontic_mood",declarative_mood
라하니이라,10,"declarative_mood, deontic_mood",declarative_mood
이니하여하며하나니라,10,"declarative_mood, deontic_mood",declarative_mood
니라라,10,"declarative_mood, deontic_mood",declarative_mood
는하여라는라,10,deontic_mood,deontic_mood
하리라,10,"epistemic_mood, deontic_mood",epistemic_mood
라하니로다,10,"declarative_mood, deontic_mood",declarative_mood
는이라은이니라,10,"declarative_mood, deontic_mood",declarative_mood
은라이이라,10,"declarative_mood, deontic_mood",declarative_mood
은라은이요는라,10,deontic_mood,deontic_mood
나니라,10,"declarative_mood, deontic_mood",declarative_mood
는라이라하니라,10,"declarative_mood, deontic_mood",declarative_mood
은요은라이라,10,"declarative_mood, deontic_mood",declarative_mood
로이라은라,10,"declarative_mood, deontic_mood",declarative_mood
는라하니이라,10,"declarative_mood, deontic_mood",declarative_mood
는니이라,10,"declarative_mood, deontic_mood",declarative_mood
은라하시니라,10,"declarative_mood, deontic_mood",declarative_mood
은라은이요은라,10,deontic_mood,deontic_mood
에하니라는라,10,"declarative_mood, deontic_mood",declarative_mood
는오라,10,"deontic_mood, interrogative_mood",deontic_mood
는라에이라,10,"declarative_mood, deontic_mood",declarative_mood
는라는니하니라,10,"declarative_mood, deontic_mood",declarative_mood
하니하니라,10,"declarative_mood, deontic_mood",declarative_mood
는요는니라,10,"declarative_mood, deontic_mood",declarative_mood
라하야,10,deontic_mood,deontic_mood
은니라는니라,10,"declarative_mood, deontic_mood",declarative_mood
하고하니이라,10,"declarative_mood, deontic_mood",declarative_mood
는라은이니이라,10,"declarative_mood, deontic_mood",declarative_mood
은요은라은니라,10,"declarative_mood, deontic_mood",declarative_mood
이라니라,10,"declarative_mood, deontic_mood",declarative_mood
에이라는라,10,"declarative_mood, deontic_mood",declarative_mood
은이라은요은라,10,"declarative_mood, deontic_mood",declarative_mood
리라,10,"epistemic_mood, deontic_mood",epistemic_mood
는라라하니라,10,"declarative_mood, deontic_mood",declarative_mood
라하니,10,deontic_mood,deontic_mood
는이라은요,10,"declarative_mood, deontic_mood",declarative_mood
는에라라하니라,10,"declarative_mood, deontic_mood",declarative_mood
은라은요은니라,10,"declarative_mood, deontic_mood",declarative_mood
이하고하니라,10,"declarative_mood, deontic_mood",declarative_mood
면리라,10,"epistemic_mood, deontic_mood",epistemic_mood
이라이하야하다,10,"declarative_mood, deontic_mood",declarative_mood
하여이라하니라,10,"declarative_mood, deontic_mood",declarative_mood
는이요는이라,10,"declarative_mood, deontic_mood",declarative_mood
라은이니이라,10,"declarative_mood, deontic_mood",declarative_mood
하여이라라,10,"declarative_mood, deontic_mood",declarative_mood
면이라,10,"declarative_mood, deontic_mood",declarative_mood
는라는이니이라,10,"declarative_mood, deontic_mood",declarative_mood
니라아,10,"declarative_mood, deontic_mood",declarative_mood
는요는라는요는라,10,deontic_mood,deontic_mood
하니라하고하니라,10,"declarative_mood, deontic_mood",declarative_mood
로라하니라,10,"declarative_mood, deontic_mood",declarative_mood
어니리오,10,"epistemic_mood, interrogative_mood",epistemic_mood
에니라,10,"declarative_mood, deontic_mood",declarative_mood
이라에하니이라,10,"declarative_mood, deontic_mood",declarative_mood
이나하니라,10,"declarative_mood, deontic_mood",declarative_mood
는하여라은라,10,deontic_mood,deontic_mood
라는이요는라,10,deontic_mood,deontic_mood
라로시니라,10,"declarative_mood, deontic_mood",declarative_mood
는라은하여라,10,deontic_mood,deontic_mood
는요는요는니라,10,"declarative_mood, deontic_mood",declarative_mood
은라하고이라,10,"declarative_mood, deontic_mood",declarative_mood
은요는니라,10,"declarative_mood, deontic_mood",declarative_mood
요이라,10,"declarative_mood, deontic_mood",declarative_mood
에하니라하야하니라,10,"declarative_mood, deontic_mood",declarative_mood
에하니라에하니라,10,"declarative_mood, deontic_mood",declarative_mood
이라은니라,10,"declarative_mood, deontic_mood",declarative_mood
이라하니라은라,10,"declarative_mood, deontic_mood",declarative_mood
는라하여하니라,10,"declarative_mood, deontic_mood",declarative_mood
은오,10,interrogative_mood,interrogative_mood
하고라하니라,10,"declarative_mood, deontic_mood",declarative_mood
하고하니라하니라,10,"declarative_mood, deontic_mood",declarative_mood
라하다,9,deontic_mood,deontic_mood
라니리오,9,"epistemic_mood, deontic_mood, interrogative_mood",epistemic_mood
니라오,9,"declarative_mood, deontic_mood, interrogative_mood",declarative_mood
라이리오,9,"epistemic_mood, deontic_mood, interrogative_mood",epistemic_mood
는라하니리오,9,"epistemic_mood, deontic_mood, interrogative_mood",epistemic_mood
하니리오라,9,"epistemic_mood, deontic_mood, interrogative_mood",epistemic_mood
는이요은라는라,9,deontic_mood,deontic_mood
이면리오라,9,"epistemic_mood, deontic_mood, interrogative_mood",epistemic_mood
니라는오,9,"declarative_mood, deontic_mood, interrogative_mood",declarative_mood
은이요은라은라,9,deontic_mood,deontic_mood
는이요는라은라,9,deontic_mood,deontic_mood
라에,9,deontic_mood,deontic_mood
이라면리라,9,"epistemic_mood, deontic_mood, declarative_mood",epistemic_mood
하야하고하야라,9,deontic_mood,deontic_mood
은라은하여라,9,deontic_mood,deontic_mood
라는이요은라,9,deontic_mood,deontic_mood
는라하고라,9,deontic_mood,deontic_mood
라면라,9,deontic_mood,deontic_mood
라은요는라,9,deontic_mood,deontic_mood
가리오라,9,"epistemic_mood, deontic_mood, interrogative_mood",epistemic_mood
라하여라,9,deontic_mood,deontic_mood
는오니라,9,"declarative_mood, deontic_mood, interrogative_mood",declarative_mood
라은이요은라,9,deontic_mood,deontic_mood
니잇고,9,interrogative_mood,interrogative_mood
이라하니아,8,"declarative_mood, deontic_mood",declarative_mood
는니라은이라,8,"declarative_mood, deontic_mood",declarative_mood
에하니이라,8,"declarative_mood, deontic_mood",declarative_mood
이하니라는라,8,"declarative_mood, deontic_mood",declarative_mood
하며이라니라,8,"declarative_mood, deontic_mood",declarative_mood
는라이요이라,8,"declarative_mood, deontic_mood",declarative_mood
하니라하야하다,8,"declarative_mood, deontic_mood",declarative_mood
는요는라는니라,8,"declarative_mood, deontic_mood",declarative_mood
은니라은니라,8,"declarative_mood, deontic_mood",declarative_mood
은이요니라,8,"declarative_mood, deontic_mood",declarative_mood
이어니리오,8,"epistemic_mood, interrogative_mood",epistemic_mood
은요은니라은라,8,"declarative_mood, deontic_mood",declarative_mood
이요이니라,8,"declarative_mood, deontic_mood",declarative_mood
하니라하고하다,8,"declarative_mood, deontic_mood",declarative_mood
은라하여이라,8,"declarative_mood, deontic_mood",declarative_mood
하니리오이니라,8,"epistemic_mood, deontic_mood, interrogative_mood, declarative_mood",epistemic_mood
이라은이니라,8,"declarative_mood, deontic_mood",declarative_mood
는이라는요는라,8,"declarative_mood, deontic_mood",declarative_mood
는니니라는라,8,"declarative_mood, deontic_mood",declarative_mood
하야하다하니라,8,"declarative_mood, deontic_mood",declarative_mood
은이라는요는라,8,"declarative_mood, deontic_mood",declarative_mood
는라이라로이라,8,"declarative_mood, deontic_mood",declarative_mood
니라이리오,8,"epistemic_mood, deontic_mood, interrogative_mood, declarative_mood",epistemic_mood
는니라면리오,8,"epistemic_mood, deontic_mood, interrogative_mood, declarative_mood",epistemic_mood
은이요는라은라,8,deontic_mood,deontic_mood
는라에하니라,8,"declarative_mood, deontic_mood",declarative_mood
는라에라,8,deontic_mood,deontic_mood
고이라,8,"declarative_mood, deontic_mood",declarative_mood
는요는이라는라,8,"declarative_mood, deontic_mood",declarative_mood
이면하니이리오하니라,8,"epistemic_mood, deontic_mood, interrogative_mood, declarative_mood",epistemic_mood
은이라은니이라,8,"declarative_mood, deontic_mood",declarative_mood
로하시니라은라,8,"declarative_mood, deontic_mood",declarative_mood
은라이라로라,8,"declarative_mood, deontic_mood",declarative_mood
하야하다에하니라,8,"declarative_mood, deontic_mood",declarative_mood
은니라하니라,8,"declarative_mood, deontic_mood",declarative_mood
로하시니라,8,"declarative_mood, deontic_mood",declarative_mood
에이면니라,8,"declarative_mood, deontic_mood",declarative_mood
는요는이니라,8,"declarative_mood, deontic_mood",declarative_mood
이라하고하다,8,"declarative_mood, deontic_mood",declarative_mood
인댄에이리잇고,8,"epistemic_mood, interrogative_mood",epistemic_mood
은이라은이니라,8,"declarative_mood, deontic_mood",declarative_mood
하여하니라,8,"declarative_mood, deontic_mood",declarative_mood
면요면니라,8,"declarative_mood, deontic_mood",declarative_mood
이하니니라,8,"declarative_mood, deontic_mood",declarative_mood
은라이니라,8,"declarative_mood, deontic_mood",declarative_mood
이이라로라,8,"declarative_mood, deontic_mood",declarative_mood
은이니요이라은이니요이라,8,"declarative_mood, deontic_mood",declarative_mood
은니라라,8,"declarative_mood, deontic_mood",declarative_mood
요라는라,8,deontic_mood,deontic_mood
이라은이요은라,8,"declarative_mood, deontic_mood",declarative_mood
아이니라,8,"declarative_mood, deontic_mood",declarative_mood
이라에라,8,"declarative_mood, deontic_mood",declarative_mood
에하다는라,8,deontic_mood,deontic_mood
로시니라,8,"declarative_mood, deontic_mood",declarative_mood
에하다이라하다,8,"declarative_mood, deontic_mood",declarative_mood
는니이라은라,8,"declarative_mood, deontic_mood",declarative_mood
로이니라,8,"declarative_mood, deontic_mood",declarative_mood
는에는니라하니는라하니라,8,"declarative_mood, deontic_mood",declarative_mood
이라하니이리오,8,"epistemic_mood, deontic_mood, interrogative_mood, declarative_mood",epistemic_mood
는이라이니라,8,"declarative_mood, deontic_mood",declarative_mood
이라은,8,"declarative_mood, deontic_mood",declarative_mood
이면리오하니라,8,"epistemic_mood, deontic_mood, interrogative_mood, declarative_mood",epistemic_mood
은라하니하니라,8,"declarative_mood, deontic_mood",declarative_mood
이라하야이라,8,"declarative_mood, deontic_mood",declarative_mood
하니라에하니라,8,"declarative_mood, deontic_mood",declarative_mood
하니리오,8,"epistemic_mood, interrogative_mood",epistemic_mood
는이라는이니라,8,"declarative_mood, deontic_mood",declarative_mood
는라은요은니라,8,"declarative_mood, deontic_mood",declarative_mood
리오이라,8,"epistemic_mood, deontic_mood, interrogative_mood, declarative_mood",epistemic_mood
는이니이라,8,"declarative_mood, deontic_mood",declarative_mood
는라이라로라,8,"declarative_mood, deontic_mood",declarative_mood
는이요는라,8,deontic_mood,deontic_mood
는니라은니라,8,"declarative_mood, deontic_mood",declarative_mood
하니라하니하다,8,"declarative_mood, deontic_mood",declarative_mood
는라하여이라,8,"declarative_mood, deontic_mood",declarative_mood
은라는요은니라,8,"declarative_mood, deontic_mood",declarative_mood
은하니라은이라,8,"declarative_mood, deontic_mood",declarative_mood
이라이나,8,"declarative_mood, deontic_mood",declarative_mood
이면이니라,8,"declarative_mood, deontic_mood",declarative_mood
은요는니라은라,8,"declarative_mood, deontic_mood",declarative_mood
은라하여하니이라,8,"declarative_mood, deontic_mood",declarative_mood
하니라하여이리오,8,"epistemic_mood, deontic_mood, interrogative_mood, declarative_mood",epistemic_mood
하니라하야하니라,8,"declarative_mood, deontic_mood",declarative_mood
이이니하여하여하나니라,8,"declarative_mood, deontic_mood",declarative_mood
하니이라하야하다,8,"declarative_mood, deontic_mood",declarative_mood
하야하고하야이라,8,"declarative_mood, deontic_mood",declarative_mood
오하니,8,interrogative_mood,interrogative_mood
는이라는이라,8,"declarative_mood, deontic_mood",declarative_mood
는라요라,8,deontic_mood,deontic_mood
는요는라은니라,8,"declarative_mood, deontic_mood",declarative_mood
하고하니이라이리오,8,"epistemic_mood, deontic_mood, interrogative_mood, declarative_mood",epistemic_mood
하고이라하니이라,8,"declarative_mood, deontic_mood",declarative_mood
로이라,8,"declarative_mood, deontic_mood",declarative_mood
는라요이라,8,"declarative_mood, deontic_mood",declarative_mood
는라는에라,8,deontic_mood,deontic_mood
하고는하니이라이면하니이리오,8,"epistemic_mood, deontic_mood, interrogative_mood, declarative_mood",epistemic_mood
은요는라은니라,8,"declarative_mood, deontic_mood",declarative_mood
이니하여하여하나니라,8,"declarative_mood, deontic_mood",declarative_mood
에하니니라,8,"declarative_mood, deontic_mood",declarative_mood
는리라,8,"epistemic_mood, deontic_mood",epistemic_mood
로이라는라,8,"declarative_mood, deontic_mood",declarative_mood
이라은이라,8,"declarative_mood, deontic_mood",declarative_mood
이요니라,8,"declarative_mood, deontic_mood",declarative_mood
이라는니라,8,"declarative_mood, deontic_mood",declarative_mood
하야하니이라,8,"declarative_mood, deontic_mood",declarative_mood
이니라라,8,"declarative_mood, deontic_mood",declarative_mood
하니리라,8,"epistemic_mood, deontic_mood",epistemic_mood
니라리오,8,"epistemic_mood, deontic_mood, interrogative_mood, declarative_mood",epistemic_mood
이라하노라,8,"declarative_mood, deontic_mood",declarative_mood
에는니라,8,"declarative_mood, deontic_mood",declarative_mood
하라아,8,deontic_mood,deontic_mood
라로하니라,8,"declarative_mood, deontic_mood",declarative_mood
는니이라하니라,8,"declarative_mood, deontic_mood",declarative_mood
