rank,distance,cluster_id,book_name,paragraph_id,left_sentence_id,right_sentence_id,src_left,src_right,tgt_left,tgt_right
23,0.813457190990448,13,당송팔대가문초소철3,239,1301,1302,穀以石計者二千四百四十五萬이요 而其出之不盡者七十四萬이니이다,草以束計者七百九十九萬이요 而其出之多者八百一十一萬이니이다,"곡식을 석(石)으로 계산한 것이 2, 445만 석이고, 지출하고 남은 것이 74만 석입니다.","초(草)를 속(束)으로 계산한 것이 799만 속이고, 지출의 초과분이 811만 속입니다."
24,0.8130414485931396,10,당송팔대가문초유종원1,225,2025,2026,潭州東池戴氏堂記,子厚本色이라,담주(潭州) 동지(東池)의 대씨(戴氏) 집에 관한 기문,자후(子厚)의 본래 색깔이다.
25,0.8128271102905273,9,시경집전(하),2732,6057,6058,鷦鷯之雛化而爲鵰라,故로 古語曰 鷦鷯生鵰라하니 言始小而終大也라,뱁새의 새끼가 변화하여 보라매가 된다.,"그러므로 옛 말에 이르기를 “뱁새가 보라매를 낳는다.”하였으니, 처음에는 작으나 끝에는 커짐을 말한 것이다."
26,0.81279456615448,10,당시삼백수3,133,1134,1135,〈金谷園〉,杜牧,〈금곡원〉,두목
27,0.8125802278518677,5,자치통감강목4,270,1860,1861,"因取五色母馬, 置其下, 與集生駒, 皆汗血, 因號天馬子.","一說 “汗血者, 汗從肩膊出如血號, 能一日千里. ”","이에 오색(五色)의 암말을 데려다가 그 아래에 두어 교접하게 해서 망아지를 낳으면 모두 한혈(汗血)의 천리마(千里馬)가 되니, 인하여 천마자(天馬子)라 이름하였다.","일설에 “한혈(汗血)이란 땀이 어깨로부터 나오는데 피와 같으므로 이렇게 이름하였으니, 능히 하루에 천 리를 갈 수 있다. ” 한다."
28,0.812516987323761,12,춘추좌씨전1,463,2340,2341,九年春王三月癸酉에 大雨霖以震은 書始也라,庚辰에 大雨雪도 亦如之하니,9년 봄 3월 계유일에 크게 장마비가 내리며 천둥이 쳤다는 것은 시작한 날을 기록한 것이다.,경진일에 큰 눈이 내렸다는 것도 이와 같다.
29,0.8118079304695129,13,자치통감강목5,295,1806,1807,大昆彌는 戶六萬餘요 小昆彌는 戶四萬餘라,然이나 衆心이 皆附小昆彌하니라,대곤미는 가호(家戶)가 6만여 호(戶)이고 소곤미는 4만여 호(戶)였다.,그러나 사람들의 마음이 모두 소곤미를 따랐다.
30,0.81148362159729,11,당송팔대가문초유종원1,7,51,52,與李翰林建書,杓直足下,한림(翰林) 이건(李建)에게 보낸 편지,표직족하(杓直足下)께 드립니다.
31,0.8110793828964233,4,당송팔대가문초소식5,108,412,413,曰 五日不雨면 則無麥하리이다,十日不雨 可乎아,“5일 동안 비가 내리지 않으면 보리농사가 안 될 것입니다. ”,“10일 동안 비가 내리지 않는 것이 가하겠는가? ”
32,0.8098756074905396,6,자치통감강목5,194,1130,1131,"靡忘, 羌帥名也.","自歸, 自來首罪也.",미망(靡忘)은 강족(羌族) 오랑캐 장수의 이름이다.,“자귀(自歸)”는 스스로 와서 죄를 자수하는 것이다.
33,0.8091394305229187,14,자치통감강목7,774,2495,2496,丁未年(A. D. 47),二十三年이라,정미년(丁未年)(A. D. 47),한(漢)나라 세조(世祖) 광무황제(光武皇帝) 건무(建武) 23년이다.
34,0.8089828491210938,13,자치통감강목4,212,1478,1479,故以爲白金三品之文.,"重差小, 謂以半斤之重, 差爲三品, 此重六兩, 則下品重四兩也.",그러므로 이로써 백금(白金) 세 등급의 문양을 만든 것이다.,"무게가 조금씩 적은 것은 반 근［8냥(兩)］의 무게로 차등하여 세 종류를 만들었으니, 이 두 번째의 무게가 6냥(兩)이면 하품(下品)(세 번째)은 무게가 4냥(兩)인 것을 이른다."
35,0.8089575171470642,10,당시삼백수3,35,295,296,〈新嫁娘〉,王建,〈새색시〉,왕건
36,0.8088562488555908,10,당송팔대가문초구양수5,60,452,453,當是時하야 西突厥有鐵勒薛延陀阿史那之類가 爲最大요 其別部에 有同羅僕骨拔野古等은 以十數蓋其小者也라,又有處月處密諸部하니 又其小者也라,"이때에 서돌궐에 철륵(鐵勒)‧설연타(薛延陀)‧아사나(阿史那)의 무리들이 가장 큰 부락이었고, 다른 부(部)로 동라‧복골‧발야고 등 10여 개 부(部)가 있었는데, 대개 작은 부락이","또 처월(處月)‧처밀(處密) 등의 부(部)도 있었는데, 더 작은 부락이었다. "
37,0.8087645769119263,5,자치통감강목3,74,484,485,"白羊, 匈奴別種.","白羊‧樓煩二王之居, 在河南.",백양(白羊)은 흉노(匈奴)의 별종(別種)이다.,백양(白羊)과 누번(樓煩)의 두 왕이 사는 곳이 하남(河南)에 있다.
38,0.8087558150291443,10,자치통감강목2,238,1604,1605,"單父, 音善甫.",班志 “單父縣屬山陽郡. ”,선보(單父)는 음이 선보(善甫)이다.,≪한서(漢書)≫ 〈지리지(地理志)〉에 “선보현(單父縣)은 산양군(山陽郡)에 속한다. ”고 하였다.
39,0.8077660202980042,3,당송팔대가문초소식5,108,411,412,五日不雨 可乎아,曰 五日不雨면 則無麥하리이다,“5일 동안 비가 내리지 않는 것이 가(可)하겠는가? ”,“5일 동안 비가 내리지 않으면 보리농사가 안 될 것입니다. ”
40,0.8074528574943542,10,당송팔대가문초구양수5,171,1174,1175,王景仁은 廬州合肥人也라,初名茂章이니 少從楊行密하야 起淮南하다,왕경인(王景仁)은 여주(廬州) 합비(合肥) 사람이다.,초명은 무장(茂章)이니 젊은 시절 양행밀(楊行密)을 따라 회남(淮南)에서 기병(起兵)하였다.
41,0.807306706905365,3,자치통감강목3,456,2887,2888,"斷獄四百, 謂普天之下, 死罪人不過四百也.","錯, 置也.",“단옥사백(斷獄四百)”은 온 천하에 죽을죄를 지은 사람이 400명에 지나지 않음을 말한다.,조(錯)는 버려둔다는 뜻이다.
42,0.8072308897972107,10,자치통감강목4,137,951,952,"劇孟, 姓名, 洛陽人,","亦以俠顯,","극맹(劇孟)은 사람의 성명(姓名)이니, 낙양(洛陽) 사람이다.",또한 유협으로 알려졌다.
43,0.8069514036178589,5,당송팔대가문초왕안석1,533,2338,2339,褒禪山은 亦謂之華山하니 唐浮圖慧褒가 始舍於其址라가 而卒葬之라 以故로 其後名之曰褒禪이라하니라,今所謂慧空禪院者는 褒之廬冡也니,"포선산(褒禪山)은 화산(華山)이라고도 부르는데, 당(唐)나라 때의 스님 혜포(慧褒)가 그곳에 불사(佛舍)를 짓고 머물다가 사망하여 그곳에 장례를 지냈으므로, 그 때문에 그 이후에 ",지금 혜공선원(慧空禪院)이라 일컫는 곳은 혜포(慧褒)의 무덤을 지키는 사원(寺院)이다.
44,0.8069162368774414,12,당송팔대가문초증공1,387,2190,2191,以熙寧元年十一月始役하여 而以明年二月卒事하니,其用民之力이 八萬二千七百九十有二工이요 而其材出於工之餘라,희령(熙寧) 원년 11월에 공역을 시작하여 이듬해 2월에 완료하였다.,"이 공역에 투입된 백성들의 노동력은 8만 2, 792명이며, 목재는 노동력을 징발하지 않은 가구(家口)에서 징발하였다."
45,0.8064256906509399,9,자치통감강목3,382,2229,2230,"莢錢, 卽五分錢, 民間名曰 楡莢錢, 言如楡莢之薄也.","重一銖半, 徑五分, 文曰漢興.","협전(莢錢)은 바로 오푼전(五分錢)인데, 민간에서 ‘유협전(楡莢錢)’이라고 이름하였으니, 이는 느릅나무 잎처럼 얇음을 말한 것이다.","무게는 1수(銖) 반이고 지름은 5푼이며, 돈의 겉면에 한흥(漢興)이란 글자가 새겨져 있었다."
46,0.8063938617706299,9,자치통감강목4,222,1537,1538,"武剛車, 兵車也.","續漢志 “諸軍有矛戟, 其飾幡斿旗幟, 有巾有蓋, 謂之武剛車. ”",무강거(武剛車)는 병거(兵車)이다.,≪속한지(續漢志)≫에 “여러 군대에 모(矛)와 극(戟)이 장착되어 있고 번유(幡斿)와 기치(旗幟)로 꾸미고 덮개가 있고 일산이 있는 것을 무강거(武剛車)라 한다. ” 하였다.
47,0.8061913251876831,5,서경집전(상),316,1860,1861,蔡蒙은 二山名이라,蔡山은 輿地記에 在今雅州嚴道縣이라,채(蔡)와 몽(蒙)은 두 산의 이름이다.,채산(蔡山)은 ≪여지기(輿地記)≫에 “지금의 아주(雅州) 엄도현(嚴道縣)에 있다.” 하였다.
48,0.8057714700698853,5,당송팔대가문초유종원2,256,1980,1981,柳州司馬孟公墓誌銘,氣岸鑱畫하고 句亦陶洗라,유주사마(柳州司馬) 맹공(孟公)의 묘지명(墓誌銘),기개가 꿋꿋하고 문구도 깔끔하다.
49,0.8056640028953552,9,시경집전(하),589,1301,1302,比也라,蔚는 牡菣也이니 三月始生하고 七月始華하니 如胡麻華而紫赤이요 八月爲角하니 似小豆하고 角銳而長이라,비(比)이다.,"위(蔚)는 제비쑥이니, 3월에 처음 나오고 7월에 처음 꽃이 피니, 호마(胡麻)의 꽃과 같되 자적색(紫赤色)이요, 8월에 각(角)이 되니, 소두(小豆)와 같으며 각(角)이 뾰족하고"
50,0.8051085472106934,13,당송팔대가문초소철3,239,1300,1301,紬絹以匹計者一百五十一萬이요 而其出之多者十七萬이니이다,穀以石計者二千四百四十五萬이요 而其出之不盡者七十四萬이니이다,"주견(紬絹)을 계산한 것이 151만 필이고, 지출의 초과분이 17만 필입니다.","곡식을 석(石)으로 계산한 것이 2, 445만 석이고, 지출하고 남은 것이 74만 석입니다."
51,0.8050480484962463,11,당송팔대가문초한유3,172,1006,1007,友人韓愈書石以誌之하노라,辭曰,벗 한유(韓愈)가 비석(碑石)에 새겨 그의 평생을 기록하였다.,명사(銘辭)는 다음과 같다. 
52,0.8040117621421814,12,당송팔대가문초소식5,144,594,595,杭州鹽官安國寺僧居則이 自九歲出家러니 十年而得惡疾이라,且死에 自誓於佛호되 願持律終身하고 且造千手眼觀世音像하야 而誦其名을 千萬遍이러니,"항주(杭州) 염관(鹽官)에 있는 안국사(安國寺)의 승려 거칙(居則)은 9세 때에 출가(出家)하였는데, 10년 만에 나쁜 병을 얻었다.","그는 거의 죽게 되자, 스스로 부처님에게 맹세하기를 죽을 때까지 율법을 지키고 또 천수천안(千手千眼)의 관세음상(觀世音像)을 만들어서 천만 번 그 이름을 외울 것을 원하였다."
53,0.8037102818489075,7,서경집전(하),81,317,318,壬辰은 以泰誓戊午推之컨대 當是一月二日이라,死魄은 朔也니 二日故로 曰旁死魄이라,임진(壬辰)은 ˂태서(泰誓)˃의 무오일(戊午日)로 미루어 보면 마땅히 1월 2일이 된다.,"사백(死魄)은 초하루이니, 2일이기 때문에 방사백(旁死魄)이라고 말하였다."
54,0.8036264181137085,5,자치통감강목4,94,692,693,"未央宮, 有東闕‧北闕, 東闕曰蒼龍.","東司馬門, 蒼龍闕內之司馬門也.","미앙궁(未央宮)은 동궐(東闕)과 북궐(北闕)이 있으니, 동궐(東闕)을 창룡(蒼龍)이라 한다.",“동사마문(東司馬門)”은 창룡(蒼龍) 궐내(闕內)에 있는 사마문(司馬門)이다.
55,0.8035585284233093,8,자치통감강목1,500,1463,1464,馬已死라 買其(首)［骨］五百金而返이어늘 君이 怒한대,涓人이 曰死馬도 且買之온 況生者乎아,"그런데 천리마가 이미 죽었으므로 그 뼈를 500금(金)에 사서 돌아왔는데, 임금이 화를 내었습니다.",연인(涓人)이 말하기를 ‘죽은 말도 사왔는데 하물며 살아 있는 말이겠습니까?
56,0.8034523725509644,9,시경집전(상),1020,2380,2381,故로 笙竽를 皆謂之簧이라,"笙은 十三簧, 或十九簧이요 竽는 十六簧也라",그러므로 생(笙)과 우(竽)를 모두 황(簧)이라고 한다.,"생(笙)은 황(簧)이 13개이거나 또는 19개이며, 우(竽)는 16개이다."
57,0.8030352592468262,5,당송팔대가문초증공1,384,2159,2160,凡鄞之鄕十有四요 其東七鄕之田은 錢湖漑之하고 其西七鄕之田에 水注之者는 則此湖也라,舟之通越者皆繇此湖요 而湖之産에 有鳧雁魚鱉茭蒲葭菼葵蓴蓮茨之饒라,"은현(鄞縣)의 향(鄕)은 총 14곳으로, 그 중 동쪽 7개 향(鄕)에 있는 농지는 전호(錢湖)의 물로 관개를 하며, 나머지 서쪽 7개 향(鄕)에 있는 농지에 물을 대는 곳이 바로 ","선박으로 월주(越州)에 가는 경로는 모두 이 광덕호(廣德湖)를 경유하며, 광덕호(廣德湖)의 특산물로는 물오리, 기러기, 물고기, 자라, 줄풀, 부들, 갈대, 물억새, 아욱, 순채,"
58,0.802812397480011,1,서경집전(하),186,706,707,犬高四尺曰獒라,按說文曰 犬知人心可使者라하고 公羊傳曰 晉靈公이 欲殺趙盾이어늘 盾躇階而走한대 靈公이 呼獒而屬之하니 獒亦躇階而從之라하니,개가 키가 4척(尺)인 것을 오(獒)라 한다.,"≪설문(說文)≫에 “개가 사람의 마음을 알아 부릴 만한 것이다.” 하였으며, ≪공양전(公羊傳)≫에 “진(晉)나라 영공(靈公)이 조순(趙盾)을 죽이고자 하므로 조순(趙盾)이 뜰을 건"
59,0.8026791214942932,5,자치통감강목7,42,83,84,民이 訛言黃龍이 墮死黃山宮中이라하니,走觀者萬數라,"백성들이 유언비어를 퍼뜨려 “황룡(黃龍)이 황산궁(黃山宮) 안에 떨어져 죽었다. ”라고 하니, ",달려가 구경하는 자들이 1만 명이나 되었다.
60,0.802659273147583,11,당시삼백수3,14,118,119,詠作此四句 交卷,人問之 詠曰 我已作盡,그런데 조영(祖詠)은 이 네 구만을 지어 시험지를 제출했다.,"시험관이 그 까닭을 묻자, 그가 대답하기를 “저는 이미 다 썼습니다. ”라고 하였다."
61,0.8025789260864258,9,시경집전(상),329,796,797,蓬은 草名이라,一歲曰豵이니 亦小豕也라,봉(蓬)은 풀 이름이다.,"1년된 돼지를 종(豵)이라 하니, 또한 작은 돼지이다."
62,0.8023732304573059,13,자치통감강목6,1428,3103,3104,"於是에 更作金銀龜貝錢布之品하여 名曰寶貨라하니 凡五物, 六名에 二十八品이라",百姓이 憒亂하여 其貨不行이어늘 乃但行小錢直一與大錢五十二品하니 盜鑄者를 不可禁이라,"이에 다시 금(金)과 은(銀), 귀(龜)와 패(貝), 전(錢)과 포(布)의 종류를 만들어 ‘보화(寶貨)’라 이름하니, 모두 다섯 가지 물건과 여섯 가지 이름에 28종류였다.","이에 백성들이 혼란하여 이 화폐가 유통되지 못하자 마침내 다만 값어치가 1전(錢)인 소전(小錢)과 값어치가 50전(錢)인 대전(大錢) 두 가지만 유통하게 하니, 몰래 주조하는 자를"
63,0.80223548412323,2,당송팔대가문초소식5,108,413,414,十日不雨 可乎아,曰 十日不雨면 則無禾하리이다,“10일 동안 비가 내리지 않는 것이 가하겠는가? ”,“10일 동안 비가 내리지 않으면 벼농사가 안 될 것입니다. ”
64,0.8020283579826355,13,자치통감강목4,93,668,669,"宣室, 未央前殿正室也.","內, 讀曰納.",“선실(宣室)”은 미앙궁(未央宮) 전전(前殿)의 정실(正室)이다.,납(內)(들이다)은 납(納)으로 읽는다.
65,0.8017783761024475,3,자치통감강목3,505,3128,3129,謂無以布衣車及兵器也.,句.,〈“무포거급병기(毋布車及兵器)”는〉 삼베를 가지고 수레와 병기를 싸지 않음을 이른다.,여기서 구(句)를 뗀다.
66,0.8016403317451477,6,춘추좌씨전7,69,324,325,十二月辛亥朔에 日有食之하다,是夜也에 趙簡子夢에 童子臝而轉以歌하다,12월 초하루 신해일(辛亥日)에 일식(日食)이 있었다.,"그날 밤에 조간자(趙簡子)가 꿈을 꾸었는데, 동자(童子)가 발가벗고 뒹굴면서 노래를 불렀다."
67,0.8016231656074524,5,당송팔대가문초유종원2,61,312,313,中國之西數萬里에 有國曰身毒하니 釋迦牟尼如來示現之地라,彼佛言曰 西方過十萬億佛土에 有世界曰極樂하니 佛號無量壽如來라,중국에서 서쪽으로 수만 리 되는 곳에 건독(身毒)이라는 나라가 있는데 석가모니여래(釋迦牟尼如來)가 태어난 곳이다.,저들 불가(佛家)에서 말하기를 “서쪽으로 십만억 불토(佛土)를 지나가면 극락(極樂)이라는 세계가 있으니 그곳 부처를 무량수여래(無量壽如來)라 부른다.
68,0.8015241026878357,13,당송팔대가문초구양수1,230,1705,1706,內茶一色이 元計五萬斤이나,緣中國茶法이 大斤小斤不同이어늘 當初擬議之時에 朝廷謀慮不審하야 不曾明有指定斤數하니,그중에 차 한 품목은 원래 5만 근으로 계산했습니다.,"그러나 중국의 차에 대한 법은 대근(大斤)과 소근(小斤)이 같지 않은데, 당초 의논하려 할 때 조정의 사려가 치밀하지 못하여 분명히 근수(斤數)를 지정하지 않았습니다."
69,0.8013927936553955,5,당송팔대가문초소식5,134,528,529,成都는 西南大都會也라,佛事最勝이나 而大悲之像이 未睹其傑이라,성도(成都)는 서남쪽 지방의 큰 도회지이다.,불사(佛事)가 가장 많았으나 웅장한 대자비(大慈悲)의 상(像)은 아직 보지 못하였다.
70,0.8013243079185486,10,자치통감강목4,481,2930,2931,左賢王이 遂立하여 爲狐鹿姑單于하고 以左大將으로 爲左賢王하다,"匈奴二十四長, 左賢王, 位第一, 左大將, 位第五.","그리하여 좌현왕이 마침내 즉위해서 호록고선우(狐鹿姑單于)가 되고, 좌대장을 좌현왕으로 삼았다.","흉노(匈奴)의 24명 우두머리 중에 좌현왕(左賢王)의 지위가 첫 번째이고, 좌대장(左大將)의 지위가 다섯 번째이다."
71,0.8012424111366272,11,당송팔대가문초구양수3,250,1111,1112,吉州學記,典刑之文이라,길주학사(吉州學舍)에 대한 기문(記文),전범(典範)이 되는 문장이다.
72,0.8012339472770691,5,당송팔대가문초유종원2,145,801,802,永州之野에 産異蛇하니 黑質而白章이요 觸草木이면 盡死하고 以齧人이면 無禦之者라,然得而腊之하여 以爲餌면 可以已大風攣踠瘻癘하고 去死肌 殺三蟲이라,"영주(永州)의 들판에 일종의 특이한 뱀이 나오는데, 검정 바탕에 흰 무늬가 있으며, 그 독물(毒物)이 초목에 닿으면 초목이 모두 죽고 사람을 물면 어느 누구도 치료할 방법이 없다.","그러나 만약 이것을 잡아 포(脯)를 만들어 약으로 쓰면 문둥병과 손발이 오그라드는 병, 목에 난 종기 등을 치유하고 죽은 살을 제거하며 삼충(三蟲)을 죽일 수가 있다."
73,0.8011631965637207,12,자치통감강목2,489,3162,3163,高密縣在膠西.,"宣帝本始元年, 爲高密國.",고밀현(高密縣)은 교서(膠西)에 있다.,한(漢)나라 선제(宣帝) 본시(本始) 원년(B. C. 73)에 고밀국(高密國)이 되었다.
74,0.8007913827896118,13,당송팔대가문초구양수3,272,1197,1198,作亭者誰오,山之僧曰智僊也라,이 정자를 만든 사람은 누구인가?,산승(山僧)인 지선(智僊)이다.
75,0.8007212281227112,14,자치통감강목7,709,2307,2308,壬寅年(A. D. 42),十八年이라,임인년(壬寅年)(A. D. 42),한(漢)나라 세조(世祖) 광무황제(光武皇帝) 건무(建武) 18년이다.
76,0.800670862197876,9,자치통감강목6,1430,3111,3112,"金貨一品, 銀貨二品, 龜貨四品, 貝貨五品, 錢貨六品, 布貨十品.","布亦錢耳, 謂之布者, 言其分布流行也.","금화(金貨)가 1종, 은화(銀貨)가 2종, 귀화(龜貨)가 4종, 패화(貝貨)가 5종, 전화(錢貨)가 6종, 포화(布貨)가 10종이다.",포(布) 역시 돈인데 포(布)라 한 것은 분포되어 유행함을 말한 것이다.
77,0.800635814666748,6,당시삼백수1,142,1033,1034,桃源詩 唐宋以來 作桃源行最傳者 王摩詰韓退之王介甫三篇,觀退之介甫二詩 筆力意思 甚可喜,"〈도원시(桃源詩)〉 당송이래로 도원행(桃源行)을 지어서 가장 널리 알려진 것은 왕마힐, 한퇴지, 왕개보가 지은 세 편이다.",한퇴지와 왕개보의 두 시를 보면 필력(筆力)과 의사(意思)가 매우 흡족할 만하다.
78,0.8005238771438599,7,서경집전(상),49,385,386,以之審量而量多少면 則黃鍾之管에 其容子穀秬黍中者一千二百하여 以爲龠이니 而十龠爲合하고 十合爲升하고 十升爲斗하고 十斗爲斛이요,以之平衡而權輕重이면 則黃鍾之龠의 所容千二百黍는 其重十二銖니 兩龠則二十四銖爲兩하고 十六兩爲斤하고 三十斤爲鈞하고 四鈞爲石이니 此黃鍾所以爲萬事根本이니,"이것을 가지고 양(量)을 살펴 다소(多少)를 헤아리면 황종의 관에 곡식 중에 중간 크기인 검은 기장 1천2백 개가 들어가는바, 이것을 약(龠)이라 하니, 10약이 1합(合)이고 1","이것을 가지고 형(衡)을 고르게 하여 경중(輕重)을 저울질하면 황종의 약(龠)에 들어가는 1천 2백 개의 기장은 그 무게가 12수(銖)인바, 2약(龠)이면 24수(銖)이니 이것이 "
